Course,Title,Distribution Group,Analyzing Diversity,Credits,Description
AAAS 110,INTRO AFRICAN RELIGIONS,Distribution Group I,Analyzing Diversity Course,3,"Introduction to the structures of African religions through readings. Topics include community, cosmology, ritual, ethical values, magic, witchcraft, spirit possession, contribution to nationalism, social change, religion and art, and transplantation of African Religions in the Americas."
AAAS 157,RELIGION AND HIP HOP,Distribution Group I,,3,"Hip Hop culture has changed how life is discussed and conducted. However, one of the under-explored dimensions of Hip Hop culture involves its religious sensibilities. Using lectures, discussions, films, and video presentations, this course explores Hip Hop culture's religious dimensions through its musical language-rap music."
AAAS 200,INTRO TO AAAS,Distribution Group I,,3,"An exploration of the origins and development of African Studies and African American Studies. Through a focus on the articulation and resolution of field-changing debates, the course introduces students to methodologies and practices that have led to and that continue to lead to knowing Africa and African-descendent people with earnest regard for the complexity and subtlety that the subjects require."
AAAS 204,BLACK ART IN AMERICA,Distribution Group I,,3,"This class examines the history of Black art in America since the early 1900s. What is Black Art? Who are the artists, curators, scholars, and theorists who have asked and answered this question over the decades? Is a Black aesthetic inherently revolutionary and interested in the political lives of black people and their liberation? Or is a Black aesthetic best exemplified by the manipulation of materials, visual composition, and saturation? Or both? We will engage theories of black art and aesthetics that emerged in the 1920s through today to take seriously the question: how does the visual life of blackness matter? In this class we will break through the traditional rhetoric of diversity and representation and discuss how artists over the decades have insisted instead on redistributions of power, radical and speculative material practices, and structural change. It is my priority to make this course on black aesthetics joyous, safe, and accessible to students of all genders, sexualities, and disabilities."
AAAS 210,INTRO AFRICAN RELIGIONS,Distribution Group I,Analyzing Diversity Course,3,"Introduction to the structures of African religions through readings. Topics include community, cosmology, ritual, ethical values, magic, witchcraft, spirit possession, contribution to nationalism, social change, religion and art, and transplantation of African Religions in the Americas."
AAAS 211,AFRICAN MODERNISM,Distribution Group I,,3,"This course introduces students to the modern art of Africa, drawing attention to its variants in the continent’s different local and regional geographies. Defined by art historian Clement Emeka Akpang (2016) as the intersection of art with political and social concerns, the era of modernism marked a phase of great experimentation in art characterised by the introduction of new ideas, new media, and a shift in the materiality and many other aspects of art. As such, African artists were part of it, yet as Partha Mitter (2008) argues, the discourse of modernism, is an ‘unmarked case’ that implicitly stands for ‘Western’ modernism. In the course, students will cover different aspects of African modernism discourses drawing from literature and artworks from at least each of the continent’s major regions. The main objective is to gain insights into Africa’s contribution to global art. Besides the few celebrated African modernists known in the West, by the end of the course students will have amassed considerable knowledge of more artists ‘on the other side of modernity’ as these will be highlighted throughout the course."
AAAS 217,RELIGION & BLACK LIVES MATTER,Distribution Group I,Analyzing Diversity Course,3,"This course explores the intersections of religion, politics, and social justice during the period of history marked by the emergence and activities of the Black Lives Matter Movement."
AAAS 223,FREEDOM & STRUGGLE MOD AFRICA,Distribution Group I,Analyzing Diversity Course,3,"This course explores how slavery, anti-colonial, anti-imperial, anti-racism, and anti-capitalist struggles had a profound impact on Africa and the world. These seismic conflicts resulted in significant psychological, spiritual, and physical traumas that are still keenly felt in Africa today. In this course, students will get a sample of some of these traumas that Africans encountered and the ideological painkillers they concocted to address them. Thus, students will become familiar with systems, ideologies, and terms such as slavery, apartheid, socialism and communism in Africa, Pan-Africanism, Black Consciousness, female suicide bombers, neo-colonialism, and the psychological encounter between the colonized and colonizer."
AAAS 225,DYNAMICS OF EMPIRE,Distribution Group I,,3,"The arrival of the Portuguese in Africa in the 15th century marked the beginning of European oceanic expansion, a movement that profoundly shaped the modern world. This expansion introduced dichotomous dynamics of center and periphery, along with new global relations rooted in racial hierarchies, often resulting in violent consequences for African peoples. Despite these oppressive systems, resistant voices have emerged and continue to grow as African people strive to redefine Blackness. This seminar covers key topics such as the Transatlantic Slave Trade, the development of African diasporic communities, colonialism in Africa, and Afro-Atlantic intellectual and ideological exchanges. We will also explore contemporary representations and mobilizations of Black culture and identity. Through critical readings and engaging discussions of prose, poetry, film, and music, we will analyze imperialism's history and enduring legacies."
AAAS 248,AFRICA AND THE GLOBAL COLD WAR,Distribution Group I,,3,"Students will learn how Africans and African states negotiated a dangerous 20th-century and their vital roles in shaping the Global Cold War. Through archival work, videos, and primary sources, we will explore the most exciting and cutting-edge research on Africa and the Cold War."
AAAS 266,BLACK COMICS,Distribution Group I,,3,"This course considers the impact and development of graphic novels in the African American literary tradition. It traces the origin story of the genre, examines its evolving relationship to African American biography, history, and fiction, and considers its popularity in contemporary media."
AAAS 267,INTRO TO AFRICAN AMER LIT,Distribution Group I,Analyzing Diversity Course,3,"An introduction to the history and traditions of African American literature. Course will examine the poetry, essays, and fiction by people of African descent from the 18th to the 21st centuries."
AAAS 270,INTRO BLACK CHURCH IN THE US,Distribution Group I,,3,"Much of what has historically taken place within Black communities has been shaped by Black Christian churches. These churches are resources for those interested in understanding religious expression and activism within the Black community. This course provides an introduction into the history, thought, and worship of the major Black denominations."
AAAS 279,BLACK SCI-FI,Distribution Group I,Analyzing Diversity Course,3,"This course examines how black science and speculative fiction worries the division between reality and fantasy; challenges the fictions embedded in our national histories; and underscores the social, economic, and political inequities short-circuiting the lives of brown and black peoples around the world. Focusing on works from Octavia Butler to Victor Levalle, from George Schuyler to Mat Johnson, from John Williams to Colson Whitehead among others, the course engages the ways in which these authors represent the monstrous and grotesque; pandemics, environmental and technological degradation and catastrophe; urbanization, gentrification, and immigration; and (biological/technological) warfare, in order to recalibrate our understanding of the central role race plays in determining both access to, and allocation of, necessary resources. We will track the histories and afterlives of slavery and colonialism that continue to transfigure our society, while also studying varied blueprints for, and critiques of, alternative, more egalitarian societies imagined by these artists."
AAAS 300,WRITING BLACK LIVES,Distribution Group I,,3,"In this course, students will be reading, reflecting, and dissecting short stories, novels, television scripts, and other works of fiction crafted by artists across the Black diaspora. Students will thoroughly discuss process and intent, with an extensive focus on craft."
AAAS 308,BLACK VISUAL CULTURE,Distribution Group I,,3,"From Beyoncè’s ""Lemonade"" to Kendrick Lamar’s “They Not Like Us,” black visual and sonic culture have defined and shaped the American cultural landscape. But how do we read and interrogate the visuals that have accompanied these sonic revolutions? From music videos to performance art, “Black Visual Culture: From Lemonade to They Not Like Us” examines the Black visual culture of the 2000s, placing contemporary modes of visual representation in dialogue with sculpture, painting and other “fine arts.” It is our priority to make this course joyous, safe, and accessible to students of all genders, sexualities, and disabilities."
AAAS 311,REPRESENTATIONS OF DISABILITY,Distribution Group I,,3,"How has disability been represented in different realms of our social lives? What do these representations say about our “ideal” or desired future? How are representations of disabilities shaping and are shaped by the concept of futurity? How are race, sexuality, gender, and disability intertwined in these visions of the future and its representations? Drawing upon artistic, mediatic, and medical representations of disability we will examine the ways disability, in its intersections with blackness, queerness and transness, are crucial for thinking about human difference and to disturbing normative arrangements. Students will be encouraged to think critically through an interdisciplinary approach that relies on the contributions of different fields, including Disability Studies, Crip Studies, Black Studies, Medical Anthropology, and Queer and Trans Studies."
AAAS 312,BEAUTY AND THE BEAST(S),Distribution Group I,Analyzing Diversity Course,3,"This course examines the carnal violence and brutality associated with sex and gender in folktales and fairytales from the African diaspora to the Americas. In so doing, this course will also put European and African folklore in conversation with the New World’s oral traditions. Taught in English."
AAAS 323,ATLANTIC AFRICA,Distribution Group I,,3,Provides students with a deeper understanding of the history of Atlantic Africa by researching key topics based on primary and secondary sources.
AAAS 348,CHRISTIANITY & ISLAM IN AFRICA,Distribution Group I,,3,"This course will focus upon the history and conflict of Christianity and Islam in Africa, with emphasis placed upon indigenous African developments, cultural and artistic themes, and conversion narratives as well as exploring the co-existence and conflict of the two major faiths of the continent."
AAAS 355,VOICES OF HAITI,Distribution Group I,,3,"In this course, students will explore the history, literature, art, and cinema of Haiti. Students will learn to evaluate the Haitian experience in a variety of geographical and cultural settings and go beyond media’s stereotypical portrayal of the island."
AAAS 357,"SPIRITS, SCIENCE, & HEALTH",Distribution Group I,Analyzing Diversity Course,3,"This course examines the relationship between indigenous spirituality and mental health in Francophone Africa, focusing on traditional healing, modern psychiatry, and their interactions through engaging readings, films, and discussions."
AAAS 366,RADICAL BLACK THOUGHT IN ART,Distribution Group I,,3,"Citations can be a radical form of collective activism and liberation. Who we cite builds archives and informs the way we tell histories. In this class, we will look at moments when radical Black thought slip into an artist’s studio space and informs their work. In this class, students will have the opportunity to interact with visual and performance artists. We will take field trips into the studio spaces of Houston-based artists in order to ask questions about who they cite and why. Additionally, we will discuss how those citations of radical Black thought are visible within their art-making. Over the course of the semester, we will pair black contemporary artists with core readings in black studies and underline citational practices between the fields of Black studies and art history. Through this unique case-study-based pairing, students will learn about the methods, materials, and theoretical throughlines within the work of formative visual and performance artists while also becoming familiar with different concepts within the interdisciplinary field of black studies."
AAAS 396,RACE ON TRIAL,Distribution Group I,,3,"Citizenship in the United States has been, since the founding, confounded by racial difference. Courts have often served as the sites where the racialized meanings of American citizenship have been forged. This class explores this process through a series of racially charged trials, stretching from 1800 to 2020."
AAAS 426,RELI AND LITERATURE IN AFRICA,Distribution Group I,,3,"Analysis of the religious imagination and gender issues in postcolonial literature in Africa focusing on Islam, Christianity, indigenous religions and African Initiated Churches. Religious and gender issues addressed include identity crises, power, clash of cultures, modernity, cosmology, community, and socio-religious conflicts in a postcolonial world."
ANTH 324,DOCUMENTARY PRODUCTION,Distribution Group I,,3,Study of the expressive possibilities of documentary production using digital systems. Space in studio classes is limited. Registration does not guarantee a place in class. The class roster is formulated on the first day of class by the individual instructor.
ARAB 263,SECOND YEAR ARABIC I,Distribution Group I,,3,"Continuation of ARAB 142. Development of interactional competence in Arabic (sociolinguistic and socio cultural knowledge) to communicate and interact with speakers of Arabic. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition."
ARAB 264,SECOND YEAR ARABIC II,Distribution Group I,,3,"Continuation of ARAB 263. Development of interactional competence in Arabic (sociolinguistic and socio cultural knowledge) to communicate and interact with speakers of Arabic. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition."
ARAB 301,THIRD YEAR ARABIC I,Distribution Group I,,3,Continuation of ARAB 264. Emphasis on developing reading and writing ability as more authentic materials and socio-cultural topics are introduced.
ARAB 302,THIRD YEAR ARABIC II,Distribution Group I,,3,Continuation of ARAB 301. Emphasis on developing reading and writing ability as more authentic materials and socio-cultural topics are introduced.
ARAB 354,CRIT ANALYSIS OF MEDIA ARABIC,Distribution Group I,Analyzing Diversity Course,3,"Critical examination of Arabic print and digital media with a focus on close reading, critical interpretation, and analysis. Students will work on a variety of media sources, including newspapers, magazines, blogs, academic journals, and news websites that address current political and social topics. From accounts of diplomatic relations and conferences to protests and demonstrations, conflicts and terrorism, and government policy and elections, students will receive practical training in critical reading of news stories in Modern Standard Arabic."
ARCH 225,INTRO ARCHITECTURAL THINKING,Distribution Group I,,3,Introduction to architectural thought. Lectures and discussions focusing on practice and ideas that have exercised a significant influence on the discourse and production of architecture and urbanism.
ARCH 305,ARCH FOR NON-ARCHITECTS,Distribution Group I,,3,"This course is designed to increase awareness and appreciation of broad range of architectural issues through lectures, comparative building studies, design exercises, readings, and discussion. Intended for non-majors in architecture, the course will provide students the opportunity to understand the architectural design process through hands-on experience. Enrollment limited to 15 and requires instructor permission. Instructor Permission Required."
ARCH 311,HOUSTON ARCHITECTURE,Distribution Group I,,3,This course consists of a series of illustrated lectures and walking tours that describe and analyze the architecture of Houston from the city's founding in 1836 to the present. Characteristic building types and exceptional works of architecture are identified; tours stimulate an awareness of the historical dimension of urban sites.
ARCH 345,FOUNDATIONS IN  ARCH I,Distribution Group I,Analyzing Diversity Course,3,Lectures and discussions focusing on significant architectural and urban practices and ideas formulated before 1850.
ARCH 346,FOUNDATIONS IN ARCH II,Distribution Group I,,3,Lectures and discussions focusing on significant architectural and urban practices and ideas formulated be 1850 and 1950. Graduate/Undergraduate Equivalency: ARCH 646.
ARCH 352,FOUNDATIONS IN ARCH III,Distribution Group I,,3,Lectures and discussions focusing on significant architectural and urban practices between 1950 and 2000. Graduate/Undergraduate Equivalency: ARCH 652.
ARTS 103,CREATIVE 2-D DESIGN,Distribution Group I,,3,"Study of the elements and principles of design and drawing using traditional and digital means. The emphasis in the class is on a foundation to culture practice and the critical approaches to art and technology. Students will be required to participate in class discussions and critiques. This course has limited enrollment. The roster is formatted on the first day class by the instructor, who may allow additional registration for majors. It is necessary to attend the first class meeting to confirm your place on the class roster. Distribution 1 credit effective Fall 2021."
ARTS 160,SCULPT & PERFORM,Distribution Group I,,3,"This studio course will be a place to practice. Through sculptural and performative intervention, students will practice materializing space and place. Space is being defined as immaterial – the thing in-between things. Place as material – the geography of the thing, the location of the immaterial. Within our universal understanding of art, place can be identified in a variety of ways: painting, drawing, photography, etc. Each formal output is the materialization of space. In this course, we will work through the ways in which we can materialize a three-dimensional one. Students will use various technologies and materials including, the artist's body and plaster, to perform ideas and offer an understanding of a lived experience. Studio assignments will be accompanied by lectures, visiting artists workshops and field trips. D1 status effective Fall 2025."
ARTS 165,BEGINNING SCULPTURE,Distribution Group I,,3,"Introduction to the concepts and forms of contemporary sculpture. Exploration of materials (including plaster, clay, cardboard, fabric, wood, and found objects) and sculpture techniques such as mold making and woodworking. Shop and studios are available days and evening throughout the week. This course has limited enrollment. The roster is formalized on the first day class by the instructor, who may allow additional registration for majors. It is necessary to attend the first class meeting to confirm your place on the class roster."
